Record_ID,City,Province,Healthcare_Facility_Name,Facility_Type,Public_or_Private,Number_of_Beds,Number_of_Doctors,Number_of_Nurses,Daily_Patient_Capacity,Emergency_Service,Average_Rating,
34,Faisalabad,Punjab,Faisalabad Healthcare Facility 34,Hospital,Private,774,10,394,1823,No,4.7,
35,Quetta,Balochistan,Quetta Healthcare Facility 35,Hospital,Public,771,49,501,545,No,3.4,
36,Hyderabad,Sindh,Hyderabad Healthcare Facility 36,Maternity Home,Private,769,72,144,1451,No,3.9,
37,Lahore,Punjab,Lahore Healthcare Facility 37,Clinic,Private,769,137,416,764,Yes,2.5,
38,Abbottabad,Khyber Pakhtunkhwa,Abbottabad Healthcare Facility 38,Medical Center,Private,769,131,532,962,Yes,3.4,
39,Peshawar,Khyber Pakhtunkhwa,Peshawar Healthcare Facility 39,Medical Center,Private,769,164,354,1512,Yes,4.8,
40,Multan,Punjab,Multan Healthcare Facility 40,Clinic,Public,769,94,281,590,No,3.4,
41,Bahawalpur,Punjab,Bahawalpur Healthcare Facility 41,Diagnostic Lab,Private,769,200,235,851,No,3.5,
42,Hyderabad,Sindh,Hyderabad Healthcare Facility 42,Medical Center,Private,768,61,526,1503,No,4.6,
43,Sialkot,Punjab,Sialkot Healthcare Facility 43,Hospital,Public,767,212,97,1101,Yes,4.5,
44,Mardan,Khyber Pakhtunkhwa,Mardan Healthcare Facility 44,Medical Center,Private,766,156,210,299,Yes,3.4,
45,Multan,Punjab,Multan Healthcare Facility 45,Clinic,Private,765,258,124,1784,Yes,4.3,
46,Islamabad,Islamabad Capital,Islamabad Healthcare Facility 46,Hospital,Public,762,27,45,281,Yes,3.6,
47,Faisalabad,Punjab,Faisalabad Healthcare Facility 47,Medical Center,Public,762,174,384,1997,No,3.5,
48,Quetta,Balochistan,Quetta Healthcare Facility 48,Medical Center,Private,761,23,39,1819,No,3.9,
49,Sukkur,Sindh,Sukkur Healthcare Facility 49,Hospital,Public,761,281,564,742,Yes,2.7,
50,Hyderabad,Sindh,Hyderabad Healthcare Facility 50,Diagnostic Lab,Private,761,51,46,1912,No,4.9,
51,Faisalabad,Punjab,Faisalabad Healthcare Facility 51,Maternity Home,Private,760,155,172,510,Yes,2.6,
52,Multan,Punjab,Multan Healthcare Facility 52,Clinic,Public,759,212,529,1814,No,2.5,
53,Rawalpindi,Punjab,Rawalpindi Healthcare Facility 53,Maternity Home,Public,758,134,85,829,No,4.7,
54,Bahawalpur,Punjab,Bahawalpur Healthcare Facility 54,Hospital,Private,755,272,566,421,No,3.5,
55,Multan,Punjab,Multan Healthcare Facility 55,Clinic,Private,755,26,379,969,Yes,3.9,
56,Mardan,Khyber Pakhtunkhwa,Mardan Healthcare Facility 56,Hospital,Private,754,26,53,807,No,4.8,
57,Lahore,Punjab,Lahore Healthcare Facility 57,Clinic,Private,754,34,442,1385,Yes,2.7,
58,Hyderabad,Sindh,Hyderabad Healthcare Facility 58,Clinic,Public,753,14,91,449,Yes,3.2,
59,Islamabad,Islamabad Capital,Islamabad Healthcare Facility 59,Clinic,Public,753,14,92,1033,No,3.9,
60,Gujranwala,Punjab,Gujranwala Healthcare Facility 60,Clinic,Private,753,292,375,645,No,3,
61,Mardan,Khyber Pakhtunkhwa,Mardan Healthcare Facility 61,Diagnostic Lab,Public,752,130,436,1671,Yes,3.1,
62,Gujranwala,Punjab,Gujranwala Healthcare Facility 62,Clinic,Public,752,151,577,543,Yes,3.2,
63,Quetta,Balochistan,Quetta Healthcare Facility 63,Diagnostic Lab,Public,752,43,83,281,No,3.7,
64,Multan,Punjab,Multan Healthcare Facility 64,Medical Center,Public,752,151,576,1891,Yes,4,
65,Sukkur,Sindh,Sukkur Healthcare Facility 65,Maternity Home,Private,751,89,255,874,No,3.5,
66,Bahawalpur,Punjab,Bahawalpur Healthcare Facility 66,Clinic,Private,751,93,240,1024,No,2.6,
67,Quetta,Balochistan,Quetta Healthcare Facility 67,Diagnostic Lab,Private,749,279,557,890,No,3,
68,Multan,Punjab,Multan Healthcare Facility 68,Clinic,Public,748,183,430,347,Yes,2.9,
69,Faisalabad,Punjab,Faisalabad Healthcare Facility 69,Hospital,Private,748,139,436,1648,No,3.2,
70,Karachi,Sindh,Karachi Healthcare Facility 70,Clinic,Public,747,195,25,1361,No,3.5,
71,Gujranwala,Punjab,Gujranwala Healthcare Facility 71,Clinic,Private,745,188,123,1306,Yes,4.6,
72,Peshawar,Khyber Pakhtunkhwa,Peshawar Healthcare Facility 72,Diagnostic Lab,Public,745,214,452,498,Yes,4.9,
73,Lahore,Punjab,Lahore Healthcare Facility 73,Diagnostic Lab,Private,744,91,478,1620,Yes,4,
74,Mardan,Khyber Pakhtunkhwa,Mardan Healthcare Facility 74,Clinic,Private,742,113,36,1391,No,3.7,
75,Faisalabad,Punjab,Faisalabad Healthcare Facility 75,Hospital,Public,742,217,84,408,Yes,3.8,
76,Mardan,Khyber Pakhtunkhwa,Mardan Healthcare Facility 76,Clinic,Public,741,264,180,1179,No,4.6,
77,Peshawar,Khyber Pakhtunkhwa,Peshawar Healthcare Facility 77,Diagnostic Lab,Private,740,88,418,1797,No,4.4,
78,Faisalabad,Punjab,Faisalabad Healthcare Facility 78,Maternity Home,Public,739,95,314,1319,Yes,3.4,
79,Bahawalpur,Punjab,Bahawalpur Healthcare Facility 79,Hospital,Public,738,52,107,1984,Yes,4.8,
80,Quetta,Balochistan,Quetta Healthcare Facility 80,Medical Center,Private,738,285,89,288,No,3.4,
81,Gujranwala,Punjab,Gujranwala Healthcare Facility 81,Clinic,Private,737,187,304,1981,No,4.3,
82,Islamabad,Islamabad Capital,Islamabad Healthcare Facility 82,Medical Center,Private,736,35,95,1648,No,3.7,
83,Rawalpindi,Punjab,Rawalpindi Healthcare Facility 83,Hospital,Public,736,181,189,1057,No,3.1,
84,Islamabad,Islamabad Capital,Islamabad Healthcare Facility 84,Clinic,Public,733,258,297,964,Yes,4.1,
85,Peshawar,Khyber Pakhtunkhwa,Peshawar Healthcare Facility 85,Clinic,Private,733,109,370,620,Yes,4.7,
86,Bahawalpur,Punjab,Bahawalpur Healthcare Facility 86,Maternity Home,Private,732,61,122,1556,Yes,3,
87,Karachi,Sindh,Karachi Healthcare Facility 87,Clinic,Public,732,115,105,1508,Yes,3.6,
88,Karachi,Sindh,Karachi Healthcare Facility 88,Diagnostic Lab,Private,730,281,12,1926,No,4,
89,Bahawalpur,Punjab,Bahawalpur Healthcare Facility 89,Medical Center,Private,730,91,404,1410,No,2.8,
90,Mardan,Khyber Pakhtunkhwa,Mardan Healthcare Facility 90,Maternity Home,Public,729,132,192,65,Yes,4.5,
91,Sukkur,Sindh,Sukkur Healthcare Facility 91,Medical Center,Public,729,11,291,533,Yes,3.2,
92,Mardan,Khyber Pakhtunkhwa,Mardan Healthcare Facility 92,Medical Center,Private,728,215,443,156,Yes,3.5,
93,Sukkur,Sindh,Sukkur Healthcare Facility 93,Medical Center,Private,728,180,385,1200,No,4.1,
94,Sialkot,Punjab,Sialkot Healthcare Facility 94,Diagnostic Lab,Public,726,25,75,659,Yes,4,
95,Multan,Punjab,Multan Healthcare Facility 95,Hospital,Private,726,34,135,152,No,3.5,
96,Peshawar,Khyber Pakhtunkhwa,Peshawar Healthcare Facility 96,Medical Center,Private,726,117,552,1023,No,4.7,
97,Sukkur,Sindh,Sukkur Healthcare Facility 97,Diagnostic Lab,Public,725,160,552,245,Yes,4.5,
98,Sialkot,Punjab,Sialkot Healthcare Facility 98,Clinic,Private,724,130,332,92,No,3.2,
99,Peshawar,Khyber Pakhtunkhwa,Peshawar Healthcare Facility 99,Maternity Home,Public,723,131,220,1208,Yes,3.9,
100,Quetta,Balochistan,Quetta Healthcare Facility 100,Hospital,Public,722,196,203,227,No,4.5,
101,Sialkot,Punjab,Sialkot Healthcare Facility 101,Medical Center,Private,721,33,463,417,Yes,4.5,
102,Karachi,Sindh,Karachi Healthcare Facility 102,Hospital,Public,721,257,492,958,No,4.7,
103,Hyderabad,Sindh,Hyderabad Healthcare Facility 103,Hospital,Public,720,174,205,1659,No,4.8,
104,Bahawalpur,Punjab,Bahawalpur Healthcare Facility 104,Hospital,Public,720,210,544,1648,No,4.4,
105,Lahore,Punjab,Lahore Healthcare Facility 105,Clinic,Private,720,80,138,389,No,2.7,
106,Gujranwala,Punjab,Gujranwala Healthcare Facility 106,Maternity Home,Private,719,222,511,937,Yes,4.9,
107,Lahore,Punjab,Lahore Healthcare Facility 107,Clinic,Private,719,67,110,266,Yes,3.2,
108,Abbottabad,Khyber Pakhtunkhwa,Abbottabad Healthcare Facility 108,Maternity Home,Private,718,76,395,1790,No,3.2,
109,Faisalabad,Punjab,Faisalabad Healthcare Facility 109,Maternity Home,Private,715,158,360,1123,No,4.6,
110,Faisalabad,Punjab,Faisalabad Healthcare Facility 110,Maternity Home,Public,715,24,56,896,Yes,3.8,
111,Sukkur,Sindh,Sukkur Healthcare Facility 111,Maternity Home,Private,715,6,229,1133,No,2.7,
112,Mardan,Khyber Pakhtunkhwa,Mardan Healthcare Facility 112,Medical Center,Public,715,134,45,791,No,4.7,
113,Islamabad,Islamabad Capital,Islamabad Healthcare Facility 113,Maternity Home,Private,714,45,221,899,No,3,
114,Sukkur,Sindh,Sukkur Healthcare Facility 114,Maternity Home,Public,714,125,280,864,No,2.8,
115,Lahore,Punjab,Lahore Healthcare Facility 115,Hospital,Public,712,18,332,421,Yes,4.7,
116,Mardan,Khyber Pakhtunkhwa,Mardan Healthcare Facility 116,Hospital,Public,711,215,83,1413,No,3,
117,Karachi,Sindh,Karachi Healthcare Facility 117,Clinic,Public,711,247,581,472,Yes,3.3,
118,Islamabad,Islamabad Capital,Islamabad Healthcare Facility 118,Clinic,Private,708,158,402,903,Yes,3.5,
119,Abbottabad,Khyber Pakhtunkhwa,Abbottabad Healthcare Facility 119,Clinic,Private,708,62,125,1671,Yes,4.7,
120,Peshawar,Khyber Pakhtunkhwa,Peshawar Healthcare Facility 120,Maternity Home,Public,708,247,294,674,No,2.9,
121,Sialkot,Punjab,Sialkot Healthcare Facility 121,Clinic,Private,708,164,367,991,Yes,2.5,
122,Karachi,Sindh,Karachi Healthcare Facility 122,Diagnostic Lab,Public,708,276,478,412,No,3.2,
123,Rawalpindi,Punjab,Rawalpindi Healthcare Facility 123,Medical Center,Private,704,161,372,1069,Yes,2.8,
124,Faisalabad,Punjab,Faisalabad Healthcare Facility 124,Clinic,Private,703,160,18,1614,No,4.1,
125,Hyderabad,Sindh,Hyderabad Healthcare Facility 125,Maternity Home,Private,703,254,424,780,No,3.3,
126,Islamabad,Islamabad Capital,Islamabad Healthcare Facility 126,Diagnostic Lab,Public,703,190,375,1983,No,4.8,
127,Karachi,Sindh,Karachi Healthcare Facility 127,Clinic,Public,702,175,78,196,No,4.3,
128,Islamabad,Islamabad Capital,Islamabad Healthcare Facility 128,Medical Center,Public,698,136,481,575,Yes,2.6,
129,Quetta,Balochistan,Quetta Healthcare Facility 129,Maternity Home,Private,697,293,526,853,No,4.7,
130,Quetta,Balochistan,Quetta Healthcare Facility 130,Clinic,Private,696,12,272,1049,Yes,4,
131,Bahawalpur,Punjab,Bahawalpur Healthcare Facility 131,Diagnostic Lab,Private,695,165,158,1690,Yes,4.6,
132,Multan,Punjab,Multan Healthcare Facility 132,Maternity Home,Private,695,52,272,1205,No,3,
133,Islamabad,Islamabad Capital,Islamabad Healthcare Facility 133,Medical Center,Public,694,292,489,1454,No,4.9,
134,Faisalabad,Punjab,Faisalabad Healthcare Facility 134,Medical Center,Public,693,46,294,1256,No,3.6,
135,Rawalpindi,Punjab,Rawalpindi Healthcare Facility 135,Clinic,Private,692,208,546,195,No,3.4,
136,Sialkot,Punjab,Sialkot Healthcare Facility 136,Clinic,Public,692,81,592,1427,No,4.3,
137,Rawalpindi,Punjab,Rawalpindi Healthcare Facility 137,Clinic,Private,692,46,323,753,No,3.5,
138,Peshawar,Khyber Pakhtunkhwa,Peshawar Healthcare Facility 138,Medical Center,Private,689,51,489,1265,Yes,4.7,
139,Quetta,Balochistan,Quetta Healthcare Facility 139,Hospital,Public,689,237,267,874,No,3.3,
140,Bahawalpur,Punjab,Bahawalpur Healthcare Facility 140,Maternity Home,Public,689,22,549,1958,No,3.2,
141,Peshawar,Khyber Pakhtunkhwa,Peshawar Healthcare Facility 141,Maternity Home,Private,688,48,318,1641,Yes,4.8,
142,Karachi,Sindh,Karachi Healthcare Facility 142,Maternity Home,Private,687,208,328,890,No,4.4,
143,Hyderabad,Sindh,Hyderabad Healthcare Facility 143,Maternity Home,Public,687,93,538,1771,Yes,3.9,
144,Bahawalpur,Punjab,Bahawalpur Healthcare Facility 144,Clinic,Public,685,281,117,1557,Yes,4.7,
145,Karachi,Sindh,Karachi Healthcare Facility 145,Clinic,Private,683,237,213,880,No,4.5,
146,Sialkot,Punjab,Sialkot Healthcare Facility 146,Clinic,Public,683,33,132,1000,Yes,2.6,
147,Quetta,Balochistan,Quetta Healthcare Facility 147,Medical Center,Private,682,220,170,1768,No,4.5,
148,Islamabad,Islamabad Capital,Islamabad Healthcare Facility 148,Hospital,Private,681,103,322,1242,No,3.9,
149,Gujranwala,Punjab,Gujranwala Healthcare Facility 149,Hospital,Public,680,56,109,1710,Yes,4.2,
150,Gujranwala,Punjab,Gujranwala Healthcare Facility 150,Diagnostic Lab,Public,680,210,256,849,No,2.9,
151,Sialkot,Punjab,Sialkot Healthcare Facility 151,Clinic,Public,678,273,450,1580,Yes,3.6,
152,Sialkot,Punjab,Sialkot Healthcare Facility 152,Diagnostic Lab,Private,676,107,151,260,Yes,4.9,
153,Quetta,Balochistan,Quetta Healthcare Facility 153,Hospital,Public,676,28,152,1441,No,3.5,
154,Lahore,Punjab,Lahore Healthcare Facility 154,Diagnostic Lab,Private,674,69,110,1544,No,4.4,
155,Sialkot,Punjab,Sialkot Healthcare Facility 155,Hospital,Private,673,268,156,327,No,3.5,
156,Lahore,Punjab,Lahore Healthcare Facility 156,Medical Center,Private,672,117,587,325,No,3,
157,Abbottabad,Khyber Pakhtunkhwa,Abbottabad Healthcare Facility 157,Clinic,Public,671,181,10,1424,No,3.5,
158,Peshawar,Khyber Pakhtunkhwa,Peshawar Healthcare Facility 158,Maternity Home,Private,668,156,353,1097,No,2.9,
159,Abbottabad,Khyber Pakhtunkhwa,Abbottabad Healthcare Facility 159,Medical Center,Private,668,230,203,166,No,2.7,
160,Islamabad,Islamabad Capital,Islamabad Healthcare Facility 160,Medical Center,Private,666,296,425,441,Yes,4.9,
161,Faisalabad,Punjab,Faisalabad Healthcare Facility 161,Maternity Home,Public,666,265,452,1574,No,4.4,
162,Gujranwala,Punjab,Gujranwala Healthcare Facility 162,Medical Center,Public,664,9,85,561,No,3.8,
163,Sialkot,Punjab,Sialkot Healthcare Facility 163,Medical Center,Private,664,138,53,1219,Yes,3.8,
164,Rawalpindi,Punjab,Rawalpindi Healthcare Facility 164,Diagnostic Lab,Private,664,274,598,1129,Yes,4.7,
165,Quetta,Balochistan,Quetta Healthcare Facility 165,Maternity Home,Public,663,193,231,1700,No,3.7,
166,Islamabad,Islamabad Capital,Islamabad Healthcare Facility 166,Medical Center,Public,659,203,266,1478,No,4,
167,Faisalabad,Punjab,Faisalabad Healthcare Facility 167,Diagnostic Lab,Private,658,156,483,672,No,4,
168,Sukkur,Sindh,Sukkur Healthcare Facility 168,Hospital,Private,656,239,309,666,Yes,4,
169,Peshawar,Khyber Pakhtunkhwa,Peshawar Healthcare Facility 169,Hospital,Private,655,175,518,252,Yes,3,
170,Gujranwala,Punjab,Gujranwala Healthcare Facility 170,Clinic,Public,655,26,120,1857,No,3.5,
171,Mardan,Khyber Pakhtunkhwa,Mardan Healthcare Facility 171,Clinic,Private,654,48,202,1219,Yes,3.7,
172,Peshawar,Khyber Pakhtunkhwa,Peshawar Healthcare Facility 172,Diagnostic Lab,Public,651,134,587,210,No,4.8,
173,Sukkur,Sindh,Sukkur Healthcare Facility 173,Maternity Home,Public,651,143,197,1601,Yes,4.9,
174,Islamabad,Islamabad Capital,Islamabad Healthcare Facility 174,Maternity Home,Public,649,90,592,610,No,3.5,
175,Peshawar,Khyber Pakhtunkhwa,Peshawar Healthcare Facility 175,Hospital,Public,648,43,196,1020,No,2.8,
176,Quetta,Balochistan,Quetta Healthcare Facility 176,Diagnostic Lab,Private,646,192,574,1665,No,3.3,
177,Rawalpindi,Punjab,Rawalpindi Healthcare Facility 177,Hospital,Public,645,258,27,810,No,4.8,
178,Mardan,Khyber Pakhtunkhwa,Mardan Healthcare Facility 178,Medical Center,Public,645,208,267,1230,No,3.1,
179,Hyderabad,Sindh,Hyderabad Healthcare Facility 179,Diagnostic Lab,Private,645,267,574,1953,Yes,4.1,
180,Sukkur,Sindh,Sukkur Healthcare Facility 180,Clinic,Private,643,62,207,786,Yes,2.7,
181,Faisalabad,Punjab,Faisalabad Healthcare Facility 181,Maternity Home,Private,643,140,455,854,Yes,4,
182,Bahawalpur,Punjab,Bahawalpur Healthcare Facility 182,Medical Center,Private,643,200,319,163,No,3.1,
183,Faisalabad,Punjab,Faisalabad Healthcare Facility 183,Clinic,Public,642,65,374,1946,No,3,
184,Faisalabad,Punjab,Faisalabad Healthcare Facility 184,Clinic,Private,640,257,511,1559,No,4.4,
185,Multan,Punjab,Multan Healthcare Facility 185,Diagnostic Lab,Public,636,78,161,1806,No,3.1,
186,Abbottabad,Khyber Pakhtunkhwa,Abbottabad Healthcare Facility 186,Clinic,Public,636,211,134,994,Yes,3,
187,Peshawar,Khyber Pakhtunkhwa,Peshawar Healthcare Facility 187,Hospital,Public,635,112,143,1939,No,4.3,
188,Quetta,Balochistan,Quetta Healthcare Facility 188,Clinic,Private,635,10,74,1403,No,3.6,
189,Faisalabad,Punjab,Faisalabad Healthcare Facility 189,Maternity Home,Public,634,105,447,1577,No,3.8,
190,Sukkur,Sindh,Sukkur Healthcare Facility 190,Clinic,Public,634,164,580,1236,Yes,4.7,
191,Islamabad,Islamabad Capital,Islamabad Healthcare Facility 191,Hospital,Public,634,52,348,1392,No,4.8,
192,Mardan,Khyber Pakhtunkhwa,Mardan Healthcare Facility 192,Diagnostic Lab,Private,634,260,375,987,No,4.5,
193,Multan,Punjab,Multan Healthcare Facility 193,Clinic,Private,633,253,60,1241,No,3.2,
194,Faisalabad,Punjab,Faisalabad Healthcare Facility 194,Hospital,Public,632,250,284,1148,No,2.9,
195,Quetta,Balochistan,Quetta Healthcare Facility 195,Maternity Home,Private,631,95,11,1961,No,3.6,
196,Quetta,Balochistan,Quetta Healthcare Facility 196,Maternity Home,Public,631,167,87,1363,Yes,4,
197,Multan,Punjab,Multan Healthcare Facility 197,Medical Center,Public,630,175,438,1493,Yes,3.9,
198,Peshawar,Khyber Pakhtunkhwa,Peshawar Healthcare Facility 198,Maternity Home,Public,629,175,478,1223,No,4.1,
199,Islamabad,Islamabad Capital,Islamabad Healthcare Facility 199,Maternity Home,Public,628,103,89,624,No,4,
200,Islamabad,Islamabad Capital,Islamabad Healthcare Facility 200,Hospital,Public,628,292,404,204,Yes,4,
201,Islamabad,Islamabad Capital,Islamabad Healthcare Facility 201,Hospital,Private,626,187,86,777,No,3,
202,Mardan,Khyber Pakhtunkhwa,Mardan Healthcare Facility 202,Medical Center,Private,626,298,381,1963,Yes,3.6,
203,Islamabad,Islamabad Capital,Islamabad Healthcare Facility 203,Hospital,Private,624,99,284,1191,No,4,
204,Abbottabad,Khyber Pakhtunkhwa,Abbottabad Healthcare Facility 204,Diagnostic Lab,Public,623,262,249,1550,No,4.1,
205,Quetta,Balochistan,Quetta Healthcare Facility 205,Hospital,Private,622,249,376,341,Yes,4.9,
206,Sukkur,Sindh,Sukkur Healthcare Facility 206,Maternity Home,Private,622,270,589,725,Yes,3.5,
207,Gujranwala,Punjab,Gujranwala Healthcare Facility 207,Clinic,Private,621,87,154,1157,Yes,2.7,
208,Sukkur,Sindh,Sukkur Healthcare Facility 208,Diagnostic Lab,Private,621,206,320,386,Yes,2.8,
209,Sukkur,Sindh,Sukkur Healthcare Facility 209,Hospital,Private,620,177,220,1896,Yes,3.4,
210,Abbottabad,Khyber Pakhtunkhwa,Abbottabad Healthcare Facility 210,Maternity Home,Private,617,180,175,1287,No,3.8,
211,Mardan,Khyber Pakhtunkhwa,Mardan Healthcare Facility 211,Diagnostic Lab,Public,616,287,103,1309,Yes,4.9,
212,Sialkot,Punjab,Sialkot Healthcare Facility 212,Diagnostic Lab,Public,615,23,417,611,No,4.4,
213,Quetta,Balochistan,Quetta Healthcare Facility 213,Hospital,Private,614,15,191,253,Yes,3.8,
214,Karachi,Sindh,Karachi Healthcare Facility 214,Clinic,Private,614,42,80,695,No,5,
215,Bahawalpur,Punjab,Bahawalpur Healthcare Facility 215,Diagnostic Lab,Public,612,197,560,822,No,2.6,
216,Karachi,Sindh,Karachi Healthcare Facility 216,Hospital,Private,612,150,500,826,No,4.9,
217,Faisalabad,Punjab,Faisalabad Healthcare Facility 217,Medical Center,Private,611,239,476,1203,Yes,3.6,
218,Mardan,Khyber Pakhtunkhwa,Mardan Healthcare Facility 218,Diagnostic Lab,Private,609,87,276,562,No,3.5,
219,Faisalabad,Punjab,Faisalabad Healthcare Facility 219,Clinic,Private,609,37,61,1460,No,3,
220,Faisalabad,Punjab,Faisalabad Healthcare Facility 220,Diagnostic Lab,Private,609,271,558,796,No,4.5,
221,Abbottabad,Khyber Pakhtunkhwa,Abbottabad Healthcare Facility 221,Clinic,Public,608,139,376,281,No,4.4,
222,Hyderabad,Sindh,Hyderabad Healthcare Facility 222,Clinic,Public,607,137,381,1123,No,3,
223,Abbottabad,Khyber Pakhtunkhwa,Abbottabad Healthcare Facility 223,Maternity Home,Private,606,121,263,700,No,3.2,
224,Mardan,Khyber Pakhtunkhwa,Mardan Healthcare Facility 224,Diagnostic Lab,Public,606,254,519,911,Yes,4.8,
225,Mardan,Khyber Pakhtunkhwa,Mardan Healthcare Facility 225,Hospital,Private,605,21,107,424,Yes,2.7,
226,Multan,Punjab,Multan Healthcare Facility 226,Clinic,Public,605,54,45,1796,Yes,2.8,
227,Peshawar,Khyber Pakhtunkhwa,Peshawar Healthcare Facility 227,Maternity Home,Private,605,30,134,1765,No,3.2,
228,Abbottabad,Khyber Pakhtunkhwa,Abbottabad Healthcare Facility 228,Hospital,Public,604,218,563,509,Yes,3.7,
229,Sialkot,Punjab,Sialkot Healthcare Facility 229,Hospital,Public,601,121,199,1279,Yes,4.4,
230,Karachi,Sindh,Karachi Healthcare Facility 230,Diagnostic Lab,Public,601,262,503,767,No,3.8,
231,Abbottabad,Khyber Pakhtunkhwa,Abbottabad Healthcare Facility 231,Clinic,Private,601,71,224,561,Yes,2.7,
232,Mardan,Khyber Pakhtunkhwa,Mardan Healthcare Facility 232,Diagnostic Lab,Private,600,162,502,190,Yes,2.9,
233,Lahore,Punjab,Lahore Healthcare Facility 233,Hospital,Public,600,118,352,1027,No,3.2,
234,Sukkur,Sindh,Sukkur Healthcare Facility 234,Clinic,Public,599,263,585,875,Yes,4,
235,Sukkur,Sindh,Sukkur Healthcare Facility 235,Maternity Home,Private,599,175,57,1913,Yes,4.2,
236,Sialkot,Punjab,Sialkot Healthcare Facility 236,Hospital,Public,598,180,510,998,No,3.9,
237,Gujranwala,Punjab,Gujranwala Healthcare Facility 237,Medical Center,Public,598,67,342,580,Yes,4.4,
238,Multan,Punjab,Multan Healthcare Facility 238,Maternity Home,Private,598,258,186,1878,Yes,2.8,
239,Abbottabad,Khyber Pakhtunkhwa,Abbottabad Healthcare Facility 239,Medical Center,Public,597,273,254,1956,No,4,
240,Quetta,Balochistan,Quetta Healthcare Facility 240,Clinic,Private,596,294,365,502,No,3.3,
241,Bahawalpur,Punjab,Bahawalpur Healthcare Facility 241,Maternity Home,Public,596,130,528,225,No,3.6,
